county,office,district,party,candidate,votes
Jackson,President,,WGR,Jill Stein,30
Jackson,President,,NP,Claudia De la Cruz,3
Jackson,President,,NP,Cornel West,6
Jackson,President,,NP,Robert F. Kennedy Jr.,60
Jackson,President,,NP,Peter Sonski,1
Jackson,President,,NP,Cherunda Lynn Fox,0
Jefferson,President,,DEM,Kamala D. Harris,20574
Jefferson,President,,REP,Donald J. Trump,28771
Jefferson,President,,CON,Randall Terry,58
Jefferson,President,,LIB,Chase Russell Oliver,186
Jefferson,President,,WGR,Jill Stein,98
Jefferson,President,,NP,Claudia De la Cruz,19
Jefferson,President,,NP,Cornel West,35
Jefferson,President,,NP,Robert F. Kennedy Jr.,294
Jefferson,President,,NP,Peter Sonski,2
Jefferson,President,,NP,Cherunda Lynn Fox,0
Adams,President,,DEM,Kamala D. Harris,0
Adams,President,,REP,Donald J. Trump,0
Adams,President,,CON,Randall Terry,0
Adams,President,,LIB,Chase Russell Oliver,29
Ashland,President,,DEM,Kamala D. Harris,0
Ashland,President,,REP,Donald J. Trump,0
Ashland,President,,CON,Randall Terry,0
Ashland,President,,LIB,Chase Russell Oliver,20
Barron,President,,DEM,Kamala D. Harris,0
Barron,President,,REP,Donald J. Trump,0
Barron,President,,CON,Randall Terry,0
Barron,President,,LIB,Chase Russell Oliver,29
Bayfield,President,,DEM,Kamala D. Harris,0
Bayfield,President,,REP,Donald J. Trump,0
Bayfield,President,,CON,Randall Terry,0
Bayfield,President,,LIB,Chase Russell Oliver,36
Brown,President,,DEM,Kamala D. Harris,0
Brown,President,,REP,Donald J. Trump,0
Brown,President,,CON,Randall Terry,0
Brown,President,,LIB,Chase Russell Oliver,350
Buffalo,President,,DEM,Kamala D. Harris,0
Buffalo,President,,REP,Donald J. Trump,0
Buffalo,President,,CON,Randall Terry,0
Buffalo,President,,LIB,Chase Russell Oliver,9
Burnett,President,,DEM,Kamala D. Harris,0
Burnett,President,,REP,Donald J. Trump,0
Burnett,President,,CON,Randall Terry,0
Burnett,President,,LIB,Chase Russell Oliver,0
Calumet,President,,DEM,Kamala D. Harris,0
Calumet,President,,REP,Donald J. Trump,0
Calumet,President,,CON,Randall Terry,0
Calumet,President,,LIB,Chase Russell Oliver,52
Chippewa,President,,DEM,Kamala D. Harris,0
Chippewa,President,,REP,Donald J. Trump,0
